Karzai	I-per
thanked	O
his	O
allies	O
for	O
their	O
help	O
in	O
battling	O
terrorism	O
.	O
The	O
commander	O
of	O
NATO	B-org
's	O
Afghan	B-gpe
force	OO
British	B-org
General	I-org
David	B-per
Richards	I-perO
said	O
the	O
unity	O
of	O
command	O
the	O
transfer	O
brought	O
will	O
enhance	O
the	O
effectiveness	O
of	O
the	O
overall	O
operation	O
.	O
Referring	O
to	O
the	O
fight	O
in	O
southern	B-geo
Afghanistan	I-geo
since	O
NATO	B-org
took	O
command	O
there	O
in	O
July	B-timeO
Richards	B-per
said	O
the	O
NATO	B-org
force	O
has	O
shown	O
its	O
resolve	O
to	O
meet	O
the	O
challenges	O
of	O
its	O
expanded	O
mission	O
.	O
Richards	B-per
was	O
promoted	O
to	O
four-star	O
general	O
hours	O
before	O
the	O
command	O
change	O
.	O
Burma	B-geo
's	O
military	O
government	O
said	O
today	B-time
that	O
ex-Prime	O
Minister	B-per
Khin	I-per
Nyunt	I-per
was	O
ousted	O
last	O
month	O
because	O
his	O
investigations	O
of	O
military	O
commanders	O
threatened	O
the	O
unity	O
of	O
the	O
armed	O
forces	O
.	O
State-controlled	O
newspapers	O
on	O
Sunday	B-time
published	O
a	O
speech	O
delivered	O
October	B-time
24	I-time
by	O
ruling	O
council	O
member	O
General	B-org
Thura	I-org
Shwe	I-org
Mahn	I-orgO
who	O
said	O
Khin	B-per
Nyunt	I-per
began	O
investigating	O
rival	O
officers	O
after	O
being	O
told	O
he	O
would	O
be	O
replaced	O
as	O
military	O
intelligence	O
chief	O
.	O
Thura	B-org
Shwe	I-org
Mahn	I-org
said	O
those	O
actions	O
posed	O
a	O
serious	O
threat	O
to	O
the	O
unity	O
of	O
the	O
military	O
and	O
the	O
nation	O
.	O
He	O
also	O
told	O
businessmen	O
with	O
connections	O
to	O
Khin	B-per
Nyunt	I-per
to	O
disclose	O
that	O
information	O
to	O
the	O
ruling	O
council	O
.	O
The	O
former	O
prime	O
minister	O
was	O
replaced	O
October	B-time
19	I-time
by	O
hardliner	O
Lieutenant	O
General	B-org
Soe	I-org
Win	I-org
.	O
The	O
change	O
in	O
leaders	O
is	O
believed	O
to	O
be	O
indicative	O
of	O
deep	O
divisions	O
within	O
the	O
government	O
.	O
A	O
new	O
report	O
says	O
nearly	O
4	O
people	O
have	O
been	O
killed	O
in	O
fighting	O
in	O
Afghanistan	B-time
this	O
year	O
.	O
The	O
Joint	B-org
Coordination	I-org
and	I-org
Monitoring	I-org
Board	I-org
Monday	B-timeO
says	O
insurgent	O
violence	O
has	O
killed	O
3700	O
people	O
so	O
far	O
this	O
year	OO
most	O
of	O
them	O
rebels	O
.	O
The	O
report	O
also	O
says	O
militants	O
launch	O
about	O
600	O
attacks	O
a	O
month	OO
four	O
times	O
higher	O
than	O
last	O
year	O
's	O
monthly	O
average	O
.	O
The	O
monitoring	O
board	O
is	O
comprised	O
of	O
Afghan	B-gpe
and	O
international	O
representatives	OO
including	O
the	O
United	B-org
Nations	I-org
.	O
The	O
report	O
comes	O
as	O
Afghan	B-gpe
officials	O
announced	O
that	O
the	O
bodies	O
of	O
20	O
Taleban	B-org
militants	O
had	O
been	O
recovered	O
from	O
Bermel	B-geo
district	O
in	O
Paktika	B-geo
province	OO
where	O
NATO	B-org
and	O
Afghan	B-gpe
forces	O
recently	O
conducted	O
a	O
mission	O
.	O
A	O
U.S.-backed	O
operation	O
pushed	O
the	O
Taleban	B-org
from	O
power	O
in	O
2001	B-timeO
but	O
members	O
of	O
the	O
extremist	O
group	O
continue	O
to	O
fight	O
Afghan	B-gpe
and	O
foreign	O
forces	O
defending	O
the	O
Kabul	B-org
government	O
.	O
Indian	B-gpe
border	O
security	O
forces	O
are	O
accusing	O
their	O
Pakistani	B-gpe
counterparts	O
of	O
lobbing	O
at	O
least	O
four	O
rockets	O
into	O
northern	O
Punjab	B-geo
state	O
.	O
Indian	B-gpe
officials	O
said	O
no	O
one	O
was	O
injured	O
in	O
Saturday	B-time
's	O
incident	O
but	O
that	O
two	O
of	O
the	O
rockets	O
landed	O
near	O
a	O
border	O
security	O
outpost	O
.	O
Two	O
more	O
landed	O
in	O
fields	O
belonging	O
to	O
a	O
nearby	O
village	O
.	O
They	O
say	O
not	O
all	O
of	O
the	O
rockets	O
exploded	O
upon	O
impact	O
.	O
Local	O
news	O
reports	O
said	O
at	O
least	O
five	O
mortar	O
shells	O
hit	O
the	O
palace	O
compound	O
and	O
other	O
mortars	O
were	O
fired	O
elsewhere	O
in	O
Mogadishu	B-geo
Wednesday	B-time
.	O
The	O
attacks	O
occurred	O
after	O
the	O
government	O
said	O
it	O
will	O
go	O
ahead	O
with	O
a	O
reconciliation	O
conference	O
to	O
which	O
more	O
than	O
